Calibrating on core 13...
Startup: 0.000000

loopreps\sleep:          0       500      1000      1500      2000      2500      3000      3500      4000      4500      5000      5500      6000      6500      7000      7500      8000      8500      9000      9500     10000     10500     11000     11500     12000     12500     13000     13500     14000     14500     15000     15500     16000     16500     17000     17500     18000     18500     19000     19500     20000     20500     21000     21500     22000     22500     23000     23500     24000     24500     25000
          110000    1.0000    0.8300    0.7674    0.7700    0.7592    0.7517    0.7841    0.7409    0.7458    0.7342    0.6921    0.6755    0.6711    0.6711    0.6600    0.6370    0.6291    0.6146    0.6100    0.6060    0.6000    0.5762    0.5728    0.5648    0.5497    0.5530    0.5362    0.5282    0.5166    0.5199    0.5150    0.5067    0.5083    0.4967    0.5000    0.4983    0.4934    0.4751    0.4752    0.4770    0.4733    0.4651    0.4500    0.4422    0.4441    0.4415    0.3322    0.2947    0.2980    0.3013    0.3056
          115000    1.0000    0.8804    0.8000    0.7867    0.7848    0.7600    0.7243    0.6944    0.7043    0.7167    0.7033    0.6944    0.6678    0.6645    0.6633    0.6578    0.6512    0.6291    0.6267    0.6159    0.6047    0.5993    0.5861    0.5600    0.5559    0.5581    0.5467    0.5464    0.5316    0.5331    0.5265    0.5200    0.5248    0.5099    0.5083    0.5017    0.4983    0.5017    0.4917    0.4733    0.4768    0.4572    0.4570    0.4605    0.4536    0.4485    0.3531    0.3079    0.3090    0.3123    0.3388
          120000    1.0000    0.8439    0.8328    0.7542    0.7367    0.7333    0.7243    0.7267    0.7360    0.7133    0.7043    0.6900    0.6844    0.6667    0.6656    0.6589    0.6478    0.6445    0.6358    0.6080    0.6060    0.5960    0.5867    0.5867    0.5695    0.5545    0.5512    0.5515    0.5563    0.5479    0.5380    0.5380    0.5298    0.5263    0.5249    0.5100    0.5083    0.5000    0.5000    0.4967    0.4784    0.4751    0.4737    0.4704    0.4718    0.4618    0.3498    0.3167    0.3189    0.3168    0.3179
          125000    1.0000    0.8571    0.8567    0.8167    0.7973    0.7533    0.7542    0.7367    0.7375    0.7252    0.7010    0.6811    0.6733    0.6700    0.6744    0.6667    0.6478    0.6445    0.6337    0.6312    0.6246    0.6013    0.5875    0.5894    0.5800    0.5719    0.5644    0.5596    0.5567    0.5515    0.5500    0.5479    0.5367    0.5428    0.5329    0.5265    0.5199    0.5000    0.4983    0.4885    0.4884    0.4917    0.4836    0.4801    0.4733    0.4719    0.3717    0.3223    0.3322    0.3289    0.3257
          130000    1.0000    0.8372    0.8007    0.8000    0.7608    0.7500    0.7442    0.7285    0.7367    0.7000    0.7000    0.6877    0.6777    0.6755    0.6744    0.6711    0.6634    0.6455    0.6325    0.6238    0.6192    0.6146    0.6093    0.5880    0.5828    0.5833    0.5828    0.5728    0.5677    0.5714    0.5662    0.5581    0.5615    0.5449    0.5333    0.5213    0.5233    0.5133    0.5100    0.5017    0.5000    0.5000    0.4934    0.4917    0.4768    0.4817    0.3754    0.3389    0.3400    0.3422    0.3455
          135000    1.0000    0.8763    0.8671    0.8372    0.7907    0.7641    0.7641    0.7575    0.7143    0.6833    0.6811    0.6545    0.6500    0.6678    0.6722    0.6589    0.6623    0.6567    0.6556    0.6291    0.6200    0.6192    0.6139    0.6033    0.5960    0.5894    0.5861    0.5767    0.5847    0.5814    0.5644    0.5695    0.5705    0.5567    0.5461    0.5265    0.5233    0.5099    0.5100    0.5100    0.5116    0.4983    0.4967    0.4934    0.4983    0.4901    0.3960    0.3422    0.3432    0.3465    0.3522
          140000    1.0000    0.8638    0.8140    0.8106    0.8106    0.7767    0.7575    0.7483    0.7500    0.7143    0.7133    0.6987    0.6967    0.6944    0.6944    0.6821    0.6744    0.6645    0.6556    0.6469    0.6533    0.6379    0.6258    0.6100    0.6106    0.6100    0.6106    0.6026    0.6007    0.6000    0.5967    0.5767    0.5691    0.5515    0.5385    0.5249    0.5318    0.5331    0.3987    0.3940    0.3874    0.3947    0.3900    0.3854    0.3717    0.3688    0.3700    0.3588    0.3675    0.3245    0.3333
          145000    1.0000    0.8967    0.8733    0.8400    0.8106    0.7767    0.7774    0.7708    0.7233    0.6954    0.6967    0.6987    0.6865    0.6910    0.6811    0.6777    0.6755    0.6722    0.6667    0.6512    0.6382    0.6337    0.6346    0.6304    0.6304    0.6146    0.6093    0.6179    0.6151    0.6113    0.5781    0.5681    0.5700    0.5530    0.5497    0.5526    0.5446    0.5415    0.4257    0.4086    0.4000    0.4007    0.3907    0.3920    0.3874    0.3717    0.3729    0.3767    0.3861    0.3553    0.3488
          150000    1.0000    0.8709    0.8267    0.8233    0.8185    0.7600    0.7367    0.7367    0.7185    0.7067    0.6811    0.6900    0.6900    0.6921    0.6944    0.6910    0.6788    0.6733    0.6766    0.6589    0.6600    0.6325    0.6400    0.6370    0.6200    0.6271    0.6167    0.6217    0.6167    0.6053    0.5954    0.5800    0.5581    0.5500    0.5581    0.5596    0.5581    0.5497    0.4167    0.4153    0.4120    0.4079    0.3920    0.3953    0.3667    0.3887    0.3960    0.3841    0.3907    0.3500    0.3487
          155000    1.0000    0.9100    0.8633    0.8333    0.8306    0.8267    0.7807    0.7409    0.7442    0.7143    0.7076    0.7010    0.7063    0.6944    0.6921    0.6887    0.6933    0.6854    0.6700    0.6700    0.6633    0.6634    0.6601    0.6445    0.6304    0.6436    0.6467    0.6358    0.6073    0.5908    0.5900    0.5757    0.5762    0.5714    0.5691    0.5714    0.5662    0.5633    0.4342    0.4120    0.4191    0.4172    0.4153    0.4125    0.4000    0.4000    0.4013    0.4033    0.4020    0.3675    0.3609
          160000    1.0000    0.8833    0.8804    0.8200    0.7900    0.7874    0.7667    0.7500    0.7375    0.7100    0.6811    0.6821    0.7043    0.7105    0.6987    0.6867    0.6910    0.6887    0.6832    0.6689    0.6645    0.6568    0.6533    0.6478    0.6469    0.6271    0.6300    0.6279    0.6151    0.6060    0.5828    0.5714    0.5789    0.5728    0.5795    0.5681    0.5677    0.5633    0.4342    0.4400    0.4224    0.4167    0.4167    0.4112    0.4224    0.4133    0.4059    0.4125    0.4059    0.3663    0.3700
          165000    1.0000    0.8900    0.8870    0.8763    0.8377    0.8007    0.7914    0.7550    0.7533    0.7483    0.7100    0.7020    0.7086    0.7020    0.7053    0.6954    0.6944    0.6887    0.6865    0.6856    0.6799    0.6711    0.6589    0.6545    0.6556    0.6490    0.6333    0.6200    0.6060    0.6067    0.5954    0.5974    0.5914    0.5861    0.5836    0.5800    0.5833    0.5644    0.4467    0.4323    0.4238    0.4305    0.4233    0.4252    0.4205    0.4272    0.4290    0.4139    0.4267    0.3795    0.3800
          170000    1.0000    0.8867    0.8405    0.8433    0.8073    0.8000    0.7940    0.7500    0.7276    0.7285    0.7167    0.7053    0.7176    0.7043    0.7067    0.7020    0.7057    0.6931    0.6877    0.6821    0.6755    0.6755    0.6733    0.6523    0.6556    0.6480    0.6403    0.6349    0.6060    0.5947    0.5960    0.5960    0.6020    0.5914    0.5902    0.5880    0.5776    0.5757    0.4536    0.4290    0.4385    0.4342    0.4356    0.4367    0.4305    0.4224    0.4211    0.4214    0.4211    0.3775    0.3762
          175000    1.0000    0.9203    0.8933    0.8543    0.8400    0.8033    0.8000    0.7980    0.7616    0.7243    0.7276    0.7119    0.7176    0.7143    0.7076    0.7053    0.7020    0.7000    0.7063    0.6887    0.6811    0.6743    0.6733    0.6733    0.6623    0.6414    0.6367    0.6267    0.6217    0.6179    0.6100    0.6067    0.6060    0.6060    0.6060    0.5828    0.5822    0.5828    0.4618    0.4518    0.4503    0.4488    0.4389    0.4389    0.4314    0.4352    0.4290    0.4267    0.4219    0.4020    0.3940
          180000    1.0000    0.8933    0.8510    0.8500    0.8500    0.7947    0.7741    0.7715    0.7608    0.7409    0.7309    0.7185    0.7185    0.7200    0.7129    0.7176    0.7072    0.7033    0.6977    0.6944    0.6931    0.6800    0.6832    0.6744    0.6634    0.6578    0.6367    0.6146    0.6213    0.6179    0.6113    0.6159    0.6080    0.6040    0.5967    0.5954    0.6000    0.5822    0.4605    0.4570    0.4521    0.4533    0.4437    0.4485    0.4419    0.4408    0.4356    0.4352    0.4257    0.3953    0.3927
          185000    1.0000    0.9269    0.8837    0.8505    0.8533    0.8444    0.8100    0.7682    0.7674    0.7450    0.7367    0.7333    0.7267    0.7209    0.7162    0.7110    0.7124    0.7148    0.7020    0.6964    0.6977    0.6877    0.6877    0.6678    0.6568    0.6512    0.6436    0.6379    0.6304    0.6233    0.6238    0.6139    0.6213    0.6118    0.6013    0.6047    0.5974    0.5954    0.4767    0.4536    0.4651    0.4620    0.4686    0.4587    0.4507    0.4503    0.4467    0.4404    0.4400    0.4139    0.4040
          190000    1.0000    0.9000    0.8974    0.8576    0.8200    0.8179    0.8007    0.7815    0.7767    0.7467    0.7195    0.7200    0.7351    0.7351    0.7185    0.7129    0.7124    0.7143    0.7119    0.7039    0.6900    0.6910    0.6842    0.6755    0.6689    0.6433    0.6271    0.6346    0.6246    0.6358    0.6271    0.6192    0.6192    0.6139    0.6167    0.6066    0.5993    0.5967    0.4833    0.4770    0.4686    0.4600    0.4603    0.4600    0.4605    0.4536    0.4467    0.4467    0.4426    0.4092    0.4145
          195000    1.0000    0.9067    0.9033    0.8907    0.8571    0.8140    0.8079    0.7781    0.7759    0.7708    0.7475    0.7327    0.7318    0.7285    0.7252    0.7276    0.7110    0.7096    0.7143    0.7043    0.7143    0.6885    0.6743    0.6756    0.6656    0.6589    0.6457    0.6414    0.6382    0.6412    0.6382    0.6382    0.6258    0.6225    0.6172    0.6225    0.6118    0.5933    0.4868    0.4749    0.4686    0.4767    0.4636    0.4603    0.4636    0.4633    0.4623    0.4518    0.4570    0.4238    0.4191
          200000    1.0000    0.9073    0.8638    0.8638    0.8405    0.8272    0.8239    0.7855    0.7616    0.7600    0.7542    0.7367    0.7327    0.7291    0.7252    0.7294    0.7219    0.7185    0.7076    0.7000    0.6954    0.6921    0.6877    0.6678    0.6623    0.6502    0.6502    0.6611    0.6467    0.6412    0.6400    0.6328    0.6388    0.6258    0.6217    0.6151    0.6167    0.6033    0.5974    0.5921    0.5875    0.5888    0.5882    0.5847    0.5867    0.5993    0.5833    0.5833    0.5833    0.5667    0.5500
